u'details, date, streetaddress, city, zip, latitude, longitude,animal1,animal2
Sounds Like A Bobcat,1/5/14 2:34,1219 Gilbert Place,Bronx,10474,40.818124,-73.887756,,
Roosters Crow All Day And Night For The Last 6 Months. It's A Nightmare.,1/14/14 15:29,1133 Lafayette Avenue,Brooklyn,11221,40.693257,-73.926513,crow,
I Observed An Alligator,1/14/14 1:00,2376 Webster Avenue,Bronx,10458,40.85804,-73.894007,,
Today I Am Calling To Report That My Neighbor That Lives Upstairs From Have 4 Iguanas  2 Lizards And A Dog That Live With Him. I Am Afraid That The Iguanas Or Lizards Could Come Down Into My Apartment Because He Do Not Have Them Inside Of A Cage. His Apartment Is So Nasty Somebody Need To Come Out Here To Inspect This Location. Also The Dog Barks All Day And Nite.,10/27/13 16:31,55 Lasalle Street,New York,10027,40.813077,-73.957084,,
The Caller Stated That He Think It's A Snake In His Backyard. And He Wants Someone To Come To Investigated The Situation.,2/4/14 14:06,115-15 165 Street,Jamaica,11434,40.687764,-73.782697,snake,
Next Door Neighbor Has A Rooster As A Pet And It Is Crowing All Hours Of The Night. It Is A Huge Disruption In The Neighborhood.,2/5/14 14:25,1157 Greene Avenue,Brooklyn,11221,40.694921,-73.922927,pet,
2 Sugar Gliders,2/3/14 23:41,610 West 42 Street,New York,10036,40.760694,-73.998829,,
Large Pig,2/10/14 15:50,1444 84 Street,Brooklyn,11228,40.613011,-74.009494,pig,
There Is Rooster Mostly In The Backyard Of The Location Provided Though The Rooster Also Jumps To Nieghboring Yards To Eat Whatever It Can Find On The Ground.,2/10/14 18:37,554 Woodward Avenue,Ridgewood,11385,40.706887,-73.909243,rooster,
There Is A Lady That Walks Her Pig All Over College Point And Begs For Money,2/2/14 0:39,18-09 124 Street,College Point,11356,40.782891,-73.843767,pig,
"[Redacted] Claims That The Doh Told Her That She Had To Relocate Her Pig Last Year. She Told Me That She Lied And The Pig Is Still With Her. She Parades This Animal Up And Down The Queens Streets And Even Begs For Money So She Could Pay Her Bills. The Doh Made Me Relocate My Two Pigs Because It Was Illegal And Since I\'M Living In The Same Neighborhood As This Lady And Seeing Her Getting Away With This Really Irritates Me. She Even Has A Face Book Page For This Pig And It Is ""Therapy Pig-Wilburs Life"" On The Page You Will Be Able To See All Recent Photographs Of The Pig Around The Queens Area And Even In Nyc. If I Had To Follow The Law",2/3/14 1:10,18-09 124 Street,College Point,11356,40.782891,-73.843767,pigs,
The Super In The Building Next Door,11/21/13 15:10,666 Ocean Avenue,Brooklyn,11226,40.646439,-73.960728,,
A Neighbor Who Lives 2 Buildings Over From Me,1/21/14 20:56,212 Starr Street,Brooklyn,11237,40.704836,-73.922996,,
Pitbul Dog. That Is Not Suppose To Be In The Household Because It Is Not On The Lease,11/1/13 15:32,150-18 24 Road,Whitestone,11357,40.776206,-73.814147,,
My Complaint Is That There Is An Individual Who Has Boa Constrictor Snake As A Pet.   There Are Also Possibly Young Children In The Home.,,3661 Nostrand Avenue,Brooklyn,11229,40.594671,-73.940025,pet,
The Rooster Constantly Makes Noise All Day. My Grandfather Is Home And It Disturbs Him. My Grandmother Had To Listen To This Rooster On Her Dying Bed. I Am 5 Houses Away.,3/1/14 17:08,519 Beach Avenue,Bronx,10473,40.815544,-73.862597,rooster,
Exoctic Birds,3/1/14 19:33,30-07 Astoria Boulevard,Astoria,11102,40.770325,-73.918541,birds,
Racoon Is Being Kept In A Large Cage Like Pigeon Coop With Multiple Species Of Birds,3/10/14 16:02,34-37 107 Street,Corona,11368,40.755153,-73.86113,racoon,
Loud Crowing From More Than One Rooster,3/9/14 11:00,14-38 Totten Street,Whitestone,11357,40.78829,-73.795052,rooster,
Chickens About 7 Or 8 Betty Is The Owner First Name Not Sure Of The Last Name.,3/3/14 15:17,232 94 Street,Brooklyn,11209,40.618122,-74.035049,chickens,
Rooster - Makes Loud Sounds In Morning,3/20/14 12:02,4117 Victory Boulevard,Staten Island,10314,40.591568,-74.191215,rooster,
Squirrel\n\n\n\nThere Is A Resident That Has A Squirrel As A Pet For Over 1 Year. The Squirrel Is In A Black Cage And I Have Actually Seen It As Well. There Is A 4 Year Old Child Living In The Apartment As Well. They Trapped The Squirrel When It Was Young And Now She Is Minding It.,3/20/13 16:55,3055 Decatur Avenue,Bronx,10467,40.871086,-73.879355,pet,
Rooster Being Kept As Pet. Customer Request Evening Inspection,3/22/13 0:04,135 Beach 120 Street,Rockaway Park,11694,40.578579,-73.84053,pet,
I Would Like To Report A Rooster That Is Being Kept In My Neighbors Backyard.,1/24/14 12:07,50-47 43 Street,Woodside,11377,40.736397,-73.922566,rooster,
A Tenant Has Gopher In Her Apartment. I Advised Her That Pets Were Not Allowed,3/28/14 12:30,1245 Noble Avenue,Bronx,10472,40.831039,-73.870357,,
Multiple Roosters Crowing In The Morning (7Am)  & Evening,3/30/14 19:20,14-38 Totten Street,Whitestone,11357,40.78829,-73.795052,roosters,
I Would Like To Report Illegal Snakes Being Kept As Pet.,,1145 Boynton Avenue,Bronx,10472,40.827947,-73.878347,pet,
Illegal Pet,4/9/14 19:47,116 Elizabeth Street,Staten Island,10310,40.631102,-74.120589,pet,
The Tenant Is Keeping A Illegal Animal As A Pet. The Tenant Is Keeping A Animal That Is Sort Of Like A Groundhog.,3/24/14 20:33,1245 Noble Avenue,Bronx,10472,40.831039,-73.870357,pet,
Caller Wants To Report That Her Neighbor Is Keeping Illegal Animals As Pets On Their Property,4/9/14 21:30,474 Broadway,Staten Island,10310,40.62966,-74.116581,,
Rabbits In Yard And It Attracted To Strange  Kids. They Were Told To Stay In House And She Stilll Let Them Out. These Rabbits Have Not Received Shots And Now They Are Multiplying,4/9/14 21:00,474 Broadway,Staten Island,10310,40.62966,-74.116581,,
At Least 2 Large Rooster Is In The Front And Back Yards Of A Home.,3/11/14 13:10,162-12 73 Avenue,Fresh Meadows,11366,40.727394,-73.806486,rooster,
Two Rooster--Large One Is Black And White And Smaller One Carmel Color,4/8/14 22:12,489 Hart Street,Brooklyn,11221,40.695591,-73.931499,rooster,
Neighbor Has And Rooster In Backyard,1/1/14 16:00,224 61 Street,Brooklyn,11220,40.642323,-74.022897,rooster,
Mouse As Pet,4/13/14 3:20,7903 18 Avenue,Brooklyn,11214,40.61079,-73.998407,pet,
I Can Hear A Rooster Crowing From Approximately 3Am - 11Am. I Can See Hens Walking Around This Backyard As Well.,4/12/14 10:30,212 Starr Street,Brooklyn,11237,40.704836,-73.922996,rooster,
Its A Large White Bird That Makes A Lot Of Noise It Is In A Large Cage In Their Back Yard.,4/1/14 17:26,88-10 86 Street,Woodhaven,11421,40.690438,-73.857663,birds,
At Least 2 Or 3 Roosters In Neighbors Backyard,10/1/13 16:06,146-34 60 Avenue,Flushing,11355,40.7419,-73.821944,roosters,
Neighbor Is Keeping A Goat As A Pet.,4/21/14 16:11,201-20 23 Avenue,Bayside,11360,40.776523,-73.790369,pet,
A Rooster Is Being Kept In Unsanitary Conditions.,4/23/14 9:57,890 Flushing Avenue,Brooklyn,11206,40.701919,-73.936113,rooster,
Rooster Being Kept In Cage.,4/14/14 22:35,890 Flushing Avenue,Brooklyn,11206,40.701919,-73.936113,rooster,
I Would Like To Report A Rooster Being Kept As Pet In My Neighbprs Home.,4/1/13 22:57,533 Compton Avenue,Bronx,10473,40.813143,-73.854837,pet,
Chicken,4/27/14 18:30,58 Whitaker Place,Staten Island,10304,40.595359,-74.092673,chicken,
My Neighbor Has A Pet Rooster In Thier Backyard.,4/29/14 13:00,30-15 89 Street,East Elmhurst,11369,40.761385,-73.879471,pet,
My Neighbor Has 47 Chicken And A Snake In His Apartment,4/14/14 0:52,58 Whitaker Place,Staten Island,10304,40.595359,-74.092673,chicken,
Landlord Has Tenant That Has Snakes And Turtles Inside His Residence That Is In Filthy Condition,5/1/14 14:12,383 East 56 Street,Brooklyn,11203,40.647536,-73.923763,snakes,
Very Large 4 Feet,3/4/14 0:00,1358 East New York Avenue,Brooklyn,11212,40.669268,-73.917129,,
These People Have Snakes And Other Animals,5/7/14 12:57,928 Ralph Avenue,Brooklyn,11236,40.651796,-73.92104,snakes,
There Are 2 Ten Feet Broadconstrictor Snake That Are Always In Front Of The Subway On The Owner Arms. It Freightens People Who Are Afraid Of Snakes.,5/11/14 17:25, ,New York,10011,40.746497,-74.009447,snake,
Large Snake,5/10/14 21:32,89 Christopher Avenue,Brooklyn,11212,40.671779,-73.90618,snake,
Illegal Birds Are Kept In A One Bedroom Apartment. The Owner Has Eleven Different Birds.,5/15/14 16:00,115-59 122 Street,South Ozone Park,11420,40.676194,-73.815903,birds,
Full Grown Duck,4/28/14 17:25,118 Latourette Street,Staten Island,10309,40.52191,-74.213172,birds,
Lound Noise Coming From Rooster,5/17/14 8:30, ,Bronx,10473,40.811547,-73.859549,rooster,
I Would To Report My Neighbor Who Has Turkies As A Pet,5/19/14 10:30,2034 Colden Avenue,Bronx,10462,40.853138,-73.859906,pet,
There Are Person Keeping A Ferret As A Pet,5/17/11 20:17,2610 Avenue T,Brooklyn,11229,40.602089,-73.945654,pet,
Roosters At The Location,5/12/14 11:00,37-28 111 Street,Corona,11368,40.753838,-73.857017,roosters,
There Are 4 To 5 Roosters Being Kept In The Yard. They Make Noise And It Is Causing A Bad Odor In The Area.,5/20/14 16:13,162-12 73 Avenue,Fresh Meadows,11366,40.727394,-73.806486,roosters,
This Rooster Is Actually Being As A Pet In A Commkunity Garden,5/25/14 13:48,718 East 5 Street,New York,10009,40.722438,-73.978784,pet,
1 Rooster Being Kept In A Backyard --,5/25/14 15:30,4464 Park Avenue,Bronx,10457,40.854019,-73.895081,rooster,
2 Roosters/1 Female Hen In The Backyard Kept As Pets. Makes Lots Of Noise,10/1/13 20:14,104-14 122 Street,South Richmond Hill,11419,40.686681,-73.821651,roosters,
Caller Has Made Several Complaints Regarding Two To Three Roosters Been Kept As Pet At 560 Empire Blvd. Caller Sts She Has Pathnered With 71 Precinct Vinny Martinos Community Officer Who Has Visited The Location And Verfied That The Pets Do Exists And Verbally Advised Them To Remove The Pets,5/1/14 20:57,560 Empire Boulevard,Brooklyn,11225,40.663771,-73.943702,pet,
2 Sugar Gliders,5/26/14 18:30,610 West 42 Street,New York,10036,40.760694,-73.998829,,
Tenant Is Keeping A 2 And Half Foot Lizard With A Very Long-Pointed Tail In The Apartment. The Lizard Is A Greenish Color. The Lizard Emitts A Strong Ordor. The Tenant May Have More Than One Lizard In The Apartment.,5/15/14 19:24,59 Swinnerton Street,Staten Island,10307,40.507331,-74.246954,snakes,
There Is A Rooster Tied Up In Back Yard Of Location,5/29/14 19:44,126-38 147 Street,Jamaica,11436,40.672297,-73.791324,rooster,
Racoons And Snakes Being Kept As Pets,5/29/14 20:55,3914 Avenue J,Brooklyn,11210,40.6273,-73.937878,snakes,
I Have A Neighbor That Has A Breed Of Dog I Believe That Is Not Legal,6/1/14 13:40,8400 Shore Front Parkway,Far Rockaway,11693,40.585551,-73.810203,,
Large Pig,6/1/14 13:25,1444 84 Street,Brooklyn,11228,40.613011,-74.009494,pig,
A Few Roosters That Crow At All Times Of Night & Day And Do Not Let Us Sleep,6/2/14 0:30,1441 Edward L Grant Highway,Bronx,10452,40.842918,-73.923228,crow,
Possible Python,6/2/14 17:42,22-04 77 Street,East Elmhurst,11370,40.756994,-73.890385,snakes,
I Can'T See The Animal But I Can Hear Him. He Crows All Day.,6/3/14 14:07,30-17 89 Street,East Elmhurst,11369,40.761328,-73.879461,crows,
Snake Was Roaming In A Room Of 1St Flr & Someone Caught It & Put In A Container. Caller Is Owner Of Bldg.,6/4/14 6:06,28-26 36 Street,Astoria,11103,40.76602,-73.916851,snake,
Roosters And Chickens,6/4/14 19:24,65-11 Dieterle Crescent,Rego Park,11374,40.721149,-73.861398,roosters,
Snake Is A Boa Constrictor,6/1/14 0:30,120 Beach 19 Street,Far Rockaway,11691,40.593387,-73.753149,snake,
Neighbor Is Keeping A Rooster As A Pet.  We Hear The Cock-A-Doodle-Doo Starting At 3 Am,6/4/14 7:00,573 Wilson Avenue,Brooklyn,11207,40.69098,-73.908599,pet,
At Astor Place By The Cube Keeping Three Snakes As A Street Entertainer And Collecting Donations,5/31/14 17:10, ,New York,10003,40.732254,-73.987411,snakes,
Neighbor Has A Baby Boa Constrictor. There Is Young Child That Lives In The Apt,6/10/14 18:46,50 Lefferts Avenue,Brooklyn,11225,40.661518,-73.959616,snakes,
I Want To Report That My Neighbors Have Two Roosters In Their Backyard And They Make Alot Of Noise.,6/11/14 22:09,867 Bruckner Boulevard,Bronx,10459,40.817423,-73.89417,roosters,
I Am Calling To Report A Person Who Has A Pet Lizard. They Keep It In The Back Yard In A Cage And The Condition Is Attracting Mosquitos And Rodents.,6/13/14 18:28,240-59 67 Avenue,Little Neck,11362,40.751946,-73.73792,pet,
My Neighbor Has Multiple Lizards In His House. It Looks Like He May Have 2 Or 3 Of Them. He Keeps Them Mostly Inside,8/2/13 17:00,240-59 67 Avenue,Little Neck,11362,40.751946,-73.73792,,
My Neighbor Has 3 Big Snakes That He Is Keeping As Pets.,6/15/14 21:00,1358 East New York Avenue,Brooklyn,11212,40.669268,-73.917129,snakes,
There Are Chickens In The Neighbors Back Yard. I Here The Roosters But I Havent Seen Them And The Neighbor Told Us That The Chickens Has Babies ,4/16/14 17:39,230 94 Street,Brooklyn,11209,40.618345,-74.034993,roosters,
About 100 Rabits Have Been Keep As A Pet In An Apt. The Living Arrangements Are Too Small.This Has Been Going For Over 10 Months. They Are Not Fed Properly And Sometimes East Eachother.,6/16/14 19:00,2309 62 Street,Brooklyn,11204,40.614177,-73.976994,pet,
I Would Like To Report A Neighbor That Just Moved In Who Has An Iguana And Several Other Lizards,6/17/14 6:00,972 Gates Avenue,Brooklyn,11221,40.688928,-73.924805,,
Watched [an Iguana] Enter My Building From Outside My First Floor Apartment,6/17/14 0:41,972 Gates Avenue,Brooklyn,11221,40.688928,-73.924805,,
17 Pets Illegal,6/16/14 23:32,108-53 62 Drive,Forest Hills,11375,40.736765,-73.84946,,
8-10 Iguanas,6/18/14 19:46,972 Gates Avenue,Brooklyn,11221,40.688928,-73.924805,,
The Rooster Is Always Making Noise And Disturbing The Customer.,6/21/14 15:06,89-49 214 Street,Queens Village,11427,40.723908,-73.748985,rooster,
I Am Concerned About A Neighbor's Child Who Has,6/21/14 23:50,1893 Andrews Avenue,Bronx,10453,40.853631,-73.914105,,
Possible Python,6/2/14 21:29,22-04 77 Street,East Elmhurst,11370,40.756994,-73.890385,,
The Building Super Has Roosters In The Back Yard And They Do Not Let Us Sleep,6/26/14 10:30,1441 Edward L Grant Highway,Bronx,10452,40.842918,-73.923228,roosters,
Report Of A Wild Or Illegal Animal Kept As A Pet.,6/26/14 13:37,73-55 Park Drive East,Flushing,11367,40.721596,-73.825918,pet,
They Also Have Snapping Turtles,6/26/14 19:36,240-59 67 Avenue,Little Neck,11362,40.751946,-73.73792,,
A Mechanic Shop Is Keeping A Cardinal Bird As A Pet Within A Cage,6/27/14 12:26,62-90 Forest Avenue,Ridgewood,11385,40.710988,-73.905617,pet,
Rooster Is Kept In Back Area Of Apartment Building Without Any Enclosure,6/28/14 14:00,46 Wadsworth Terrace,New York,10040,40.856103,-73.931122,rooster,
I Am Reporting A Person Who Rented And Was Evicted From A Vacant Lot For Cockfighting. He Is Using City Property Next To  Metro North To Store And Raise 25-50 Male Chickens And Roosters. There Is An Area Next To The Lot That Is Closest To 3464 Webster Avenue In The Bronx New York. Now There Is A Major Issue With Rats Because Of These Roosters Being Stored There. There Have Been Stray Roosters Along Webster Ave And The Metro North Train Tracks. These Roosters Are Not Kept As Pets But Meant For Cockfighting.,6/28/14 18:18, ,Bronx,10467,40.872399,-73.87131,roosters,
6 Roosters Are In The Frontyard Of Location For Over 6-7 Months,6/30/14 9:22,1325 Franklin Avenue,Bronx,10456,40.832362,-73.901674,roosters,
Rooster Next Door That Makes Noise All Day Long. Caller Believes This Takes Away The Quality Of Life For People In Area,4/8/14 16:03,8321 Glenwood Road,Brooklyn,11236,40.638973,-73.912376,rooster,
I Am Calling To Make A Complaint About A Rooster Being Kept As A Pet In The Basement Of My Building.,7/3/14 20:41,829 Southern Boulevard,Bronx,10459,40.817415,-73.895689,pet,
Rooster Is Running Loose & May Be Neighbor's Pet,7/5/14 9:15,3871 Amundson Avenue,Bronx,10466,40.888528,-73.835604,pet,
Turkey's And Roosters In A Cage,7/5/14 14:30,2034 Colden Avenue,Bronx,10462,40.853138,-73.859906,roosters,
Chickens Are Being Kept As House Hold Pets They Are Making A Lot Of Noise And The Smell Is Unbareblea And Is Bringing In Mice,3/1/14 12:12,230 94 Street,Brooklyn,11209,40.618345,-74.034993,chickens,
Rooster Wakes The Entire Block Up Everyday At 5AM And Crows All Day Long.,7/7/14 12:40,110 Butler Street,Brooklyn,11231,40.683261,-73.990505,crows,
The Super Whose Name Is [Redacted] Has A Rooster In The Basement And Takes Him Out Into The Backyard Of The Building Daily. The Roosters Noise Has Become A Nuisance To Us The Tenants.,6/24/14 13:34,46 Wadsworth Terrace,New York,10040,40.856103,-73.931122,roosters,
This Person Has 3 Goats On The Property.,4/30/14 22:54,5192 Amboy Road,Staten Island,10312,40.534783,-74.1834,,
Noise From Rooster,7/9/14 9:00,8321 Glenwood Road,Brooklyn,11236,40.638973,-73.912376,rooster,
The Neighbor Has A Live Goat Or A Sheep That Is Kept In The Back Yard In A Blue Metal Bunker In The Backyard.,7/9/14 23:44, ,Brooklyn,11220,40.638523,-74.015323,,
I Want To Report That My Neighbor Has A Goat Kept In The Basement. Goats Are Illegal To Have,7/10/14 0:07,659 55 Street,Brooklyn,11220,40.640233,-74.009342,,
Caller Would Like To Report Her Neighbor's That Have A Goat In The Basement. They Are Abusing The Goat And They Plan On Eating The Goat For The Religious Holiday Ramadan,7/10/14 0:21,659 55 Street,Brooklyn,11220,40.640233,-74.009342,,
Rooster Running Loose Onto The Neighboring Yard,7/10/14 20:51,50-23 Francis Lewis Boulevard,Oakland Gardens,11364,40.749674,-73.778372,rooster,
There Are A Few Roosters In The Backyard That Are Driving Us Crazy They Never Let Us Sleep.,7/11/14 9:00,1441 Edward L Grant Highway,Bronx,10452,40.842918,-73.923228,roosters,
There Are Several Roosters In The Backyard Of The Building And They Do Not Let Anyone Sleep! Please Help!,7/14/14 9:10,1441 Edward L Grant Highway,Bronx,10452,40.842918,-73.923228,roosters,
There A Roosters That Make Noise All Day Long And It Starts 3Am. You Would Have To Go Behind The House Which Is A Common Driveway.,7/14/14 7:00,30-09 89 Street,East Elmhurst,11369,40.761551,-73.8795,roosters,
Customer Had Previously Made A Report About  Goats And They Are Still On The Property Causing A Nusiance/ Health Hazard ( Attracts Rats ) Prev. Complaint [Redacted],4/13/14 21:17,5192 Amboy Road,Staten Island,10312,40.534783,-74.1834,,
Several Roosters Crowing In Backyard Of Building At All Hours. Please Help.,7/15/14 10:00,1441 Edward L Grant Highway,Bronx,10452,40.842918,-73.923228,roosters,
There Are Roosters(Male) That Are Walking Around And Attacking Other Animals,7/15/14 17:46,1082 West Fingerboard Road,Staten Island,10304,40.599565,-74.090904,roosters,
My Neighbor Is Keeping A Rooster As A Pet.,7/1/14 0:56,347 Jamaica Avenue,Brooklyn,11207,40.68231,-73.889249,pet,
I Am Requesting To The Department Of Health To Investigate This Condition. I Believe There Is A Kangaroo,11/7/13 2:45,3033 Godwin Terrace,Bronx,10463,40.878759,-73.906669,,
Rooster Is Being Kept As A Pet.,6/25/14 16:44,86-27 54 Avenue,Elmhurst,11373,40.735078,-73.878369,pet,
Customer States The Rooster Keeps Her Up At Night.,7/18/14 17:43,8321 Glenwood Road,Brooklyn,11236,40.638973,-73.912376,rooster,
Me Neighbor From The House Across The Street Has Kept A Rooster As A Pet For 2 Years. It Is Disturbing The Piece In The Neighborhood.,7/20/14 13:15,320 Beach 98 Street,Rockaway Park,11694,40.586433,-73.820745,pet,
Individual Has And Squirrel As And Pet,7/21/14 17:17,339 Ellery Street,Brooklyn,11206,40.700406,-73.939003,pet,
Seagulls Are Being Kept As Pets.,7/21/14 18:15,6106 Beach Front Road,Arverne,11692,40.588738,-73.790476,birds,
There Is A Person Who As A Male And Female Racoons And The Racoons Have Babies And They Are Being Kept As Pets In The Garage.,7/22/14 3:55,1373 East 10 Street,Brooklyn,11230,40.615703,-73.964172,,
There Is A Community Garden Located On Hart Street,7/23/14 11:39,104 Hart Street,Brooklyn,11206,40.693067,-73.947492,,
Lots Of Pigeons Kept In Trailer And Cages That Attract Insects And Feces Cause Smells. Owner Has Previously Been Notified By The City 2 Years Ago.,7/23/14 14:00,8787 15 Avenue,Brooklyn,11228,40.607454,-74.013213,birds,
I Have A Snake That Is Growing And I Can Not Accomdate It.,7/25/14 3:37,74 Arlington Avenue,Brooklyn,11207,40.679548,-73.891777,snake,
Raccoons,4/15/14 19:12,41-49 77 Street,Elmhurst,11373,40.744123,-73.887808,racoon,
9 To 10 Roosters Being Kept As Pets In Back Yard Of This 1 Family Home Location.,4/29/14 18:06,37 Lincoln Place,Staten Island,10305,40.604721,-74.067407,roosters,
